연번,경도,위도,Station 스테이션/성명,업무건물,주거건물,기타건물,대전지하철역,사고량,타슈이용량,총이용승객,경제인구수,교통량,하천여부,sum,순위
105,127.3638958,36.36885477,카이스트 서쪽 쪽문,0.07727272727272728,0.0,0.0,0.0,0.0,0.04847405419705961,0.0,0.0,0.0,0.0,0.1257467814697869,88
122,127.4235985,36.35852073,한남대후문 입구,0.034772727272727275,0.0017760416666666669,5.263157894736842e-05,0.0,0.0,0.06073642238935712,0.008128626534072727,0.018512736236647495,0.0006224844228423049,0.0,0.12460167010126097,89
109,127.3879368,36.34239229,서부농협본점,0.038636363636363635,0.0011093750000000001,2.631578947368421e-05,0.0,0.0,0.04547129521145925,0.00576022736148309,0.03202136400986031,0.0009721254369913915,0.0,0.12399706644563137,90
69,127.4013065,36.48389641,도안 트리풀시티9단지(504동 맞은편),0.0,0.0,0.0,0.0,0.0,0.021171435050455423,0.0,0.0,0.0,0.1,0.12117143505045543,91
200,127.3190971,36.3831307,지족역 2번출구(건너편),0.019318181818181818,0.0004791666666666667,0.0,0.05,0.0,0.03726331305037983,0.000582268266249914,0.010821692686935084,0.0012203005870426316,0.0,0.11968492307545595,92
67,127.4001877,36.47801527,도안 한라비발디,0.0,1.0416666666666668e-05,0.0,0.0,0.0,0.018605200498885067,0.0,0.0,0.0,0.1,0.11861561716555175,93
21,127.3588443,36.37339707,카이스트 학사식당,0.085,0.0,0.0,0.0,0.0,0.03183982765788578,0.0,6.57354149548069e-05,0.0,0.0,0.11690556307284058,94
39,127.352015,36.35149539,패션월드,0.0,0.0005312499999999999,0.0,0.0,0.0,0.009914395857742167,0.0007439638600053916,0.003853738701725554,0.0018134189939898974,0.1,0.11685676741346301,95
36,127.3985771,36.35577392,가람아파트(3동),0.0038636363636363642,0.00020312499999999996,0.0,0.0,0.0,0.026879322725726594,0.01251919244345567,0.07257189811010682,0.0006224844228423049,0.0,0.11665965906576777,96
118,127.4348223,36.34883879,복합터미널,0.023181818181818182,0.0020520833333333333,3.9473684210526316e-05,0.0,0.0,0.029293435126044064,0.04118161167934285,0.018989317995069845,0.001880517018488212,0.0,0.116618257018307,97
96,127.4586627,36.31768775,판암역 4번출구,0.007727272727272727,0.00023958333333333332,1.3157894736842104e-05,0.05,0.0,0.014193658112551496,0.012407232174126185,0.030903861955628595,0.0,0.0,0.11548476619764919,98
104,127.3780548,36.37515731,국립중앙과학관,0.0,0.0,0.0,0.0,0.0,0.01359839752069239,0.0011121377155224386,0.0,0.0007333846775222555,0.1,0.11544391991373709,99
141,127.4191124,36.33067917,대전세무서,0.07340909090909092,0.0020052083333333332,1.3157894736842104e-05,0.0,0.0,0.012321894251483428,0.0058048372624047665,0.020624486442070666,0.0006622442353374367,0.0,0.1148409193284574,100
181,127.4045795,36.39698253,(공사중)엑스포아파트4단지(건너편),0.034772727272727275,0.0014427083333333334,0.0,0.0,0.0,0.042422238179825385,0.005093857518265619,0.029695973705834017,0.0011024678949562872,0.0,0.1145299729049419,101
170,127.4246745,36.3222077,대전고오거리,0.06568181818181819,0.0009062499999999999,7.894736842105263e-05,0.0,0.0,0.015450319362031823,0.006928499982183394,0.023771569433032047,0.0014693407297844752,0.0,0.11428674505727097,102
240,127.373075,36.30870043,서부경찰서,0.054090909090909106,0.0006406249999999999,1.3157894736842104e-05,0.0,0.0,0.012401262330397973,0.004385123746223869,0.04236647493837305,0.0003807869989515955,0.0,0.11427833999959243,103
89,127.392131,36.31947462,버드내초등학교,0.023181818181818182,0.0009999999999999998,0.0,0.0,0.0,0.027679617521448277,0.005688154692767933,0.05578471651602301,0.000761573997903191,0.0,0.11409588090996059,104
85,127.39657,36.32607466,태평1동주민센터,0.015454545454545457,0.0027135416666666666,1.3157894736842104e-05,0.0,0.047368421052631574,0.01095279489020749,0.0026881550526993594,0.030402629416598194,0.0030771177777102073,0.0,0.11267036320579578,105
71,127.4290326,36.37247619,대전지방국세청,0.007727272727272727,0.00023958333333333332,0.0,0.0,0.03789473684210526,0.013142031066933745,0.010328534607586561,0.04271980279375513,0.0005060373851784682,0.0,0.11255799875616523,106
95,127.4590584,36.31688808,판암역 2번출구,0.0038636363636363642,0.0004010416666666667,0.0,0.05,0.0,0.01497411088854454,0.011125458777593692,0.031651602300739524,0.0,0.0,0.11201584999718078,107
180,127.4018064,36.39937451,전민동주민센터(건너편),0.034772727272727275,0.001484375,0.0,0.0,0.0,0.027825125666124946,0.0014646473553858517,0.0452670501232539,0.000783875675419754,0.0,0.11159780109291172,108
132,127.4566956,36.449494,삼정삼거리,0.0,0.0,0.0,0.0,0.0,0.010350920291772175,1.0128470323833902e-05,0.0,0.0,0.1,0.11036104876209601,109
50,127.3933793,36.34707504,한가람아파트,0.007727272727272727,0.0018385416666666667,0.0,0.0,0.0,0.03893004270758532,0.0038884039812734873,0.05763352506162695,0.0,0.0,0.11001778614442514,110
63,127.3363975,36.347651,상대초등학교,0.011590909090909091,0.0005572916666666667,0.0,0.0,0.047368421052631574,0.020344684228428885,0.00020462101560410708,0.02941659819227609,0.00022148880653640124,0.0,0.1097040140530528,111
131,127.4444181,36.44876257,에코공원,0.0,0.0,0.0,0.0,0.0,0.00795664991118334,5.2190056750387914e-06,0.0,0.0,0.1,0.10796186891685838,112
182,127.3010861,36.35091861,한밭대 입구,0.06568181818181819,2.604166666666667e-05,0.0,0.0,0.0,0.03955837333232549,0.0013874708590519333,0.00029580936729663106,0.0006154235555420414,0.0,0.10756493696270096,113
22,127.3638958,36.36885477,카이스트 창의학습관,0.07727272727272728,0.0,0.0,0.0,0.0,0.02906194489587664,0.0,0.0,0.0,0.0,0.10633467216860393,114
64,127.3335173,36.34724494,유성생명과학고등학교,0.019318181818181818,0.0006093749999999999,1.3157894736842104e-05,0.0,0.047368421052631574,0.013439661362863297,0.0004709918666295697,0.02439605587510271,0.00022148880653640124,0.0,0.1058373336766822,115
108,127.3375506,36.33164622,목원대학교 입구,0.023181818181818182,0.00012499999999999998,0.0,0.0,0.0,0.07110057069428172,0.006563745475212062,0.003944124897288414,0.0006154235555420414,0.0,0.10553068280414242,116
188,127.3296901,36.2986558,구봉초등학교(건너편),0.015454545454545457,0.0002239583333333333,0.0,0.0,0.0,0.013525643448354057,0.003943070366233825,0.07186524239934264,0.0004225989128860724,0.0,0.10543505891469537,117
107,127.3638958,36.36885477,카이스트 세종관,0.07727272727272728,0.0,0.0,0.0,0.0,0.027666389508295853,0.0,0.0,0.0,0.0,0.10493911678102313,118
210,127.4425499,36.4090809,읍내동우편취급국,0.0,2.0833333333333333e-05,0.0,0.0,0.0,0.003617861597188102,0.0,4.930156121610518e-05,0.0,0.1,0.10368799649173754,119
161,127.3491091,36.3848179,연구단지 KT_G(건너편),0.04636363636363637,0.0004322916666666667,0.0,0.0,0.0,0.02028515816924298,0.0026690714885000107,0.03220213640098603,0.00021355183909525373,0.0,0.10216584592812732,120
7,127.3797876,36.36215763,정부청사 입구(대덕대로),0.05022727272727273,4.6874999999999994e-05,0.0,0.0,0.0,0.028671718507880112,0.008962630839572444,0.012645850451930979,0.0006709608069451553,0.0,0.10122530833360142,121
76,127.4364651,36.36730143,선비마을입구,0.038636363636363635,0.0005937499999999999,0.0,0.0,0.0,0.008624664575380777,0.005565785206602438,0.04341002465078061,0.0,0.0,0.09683058806912745,122
30,127.3610523,36.35149094,선사유적지공용주차장,0.0,0.00041145833333333334,0.0,0.0,0.0,0.08047261801277449,0.0028852463028743764,0.011659819227608875,0.00048606271849569577,0.0,0.09591520459508676,123
221,127.3686249,36.34948397,갈마중학교(서부장로교회),0.023181818181818182,0.001963541666666667,6.578947368421052e-05,0.0,0.0,0.018664726558070978,0.0033526100607312293,0.045020542317173375,0.002136674954213007,0.0,0.09438570321235765,124
254,127.3748243,36.30453728,대전과학기술대학교 정문,0.054090909090909106,9.375e-05,0.0,0.0,0.0,0.020139650024566306,0.002707598548324573,0.016795398520953162,0.0,0.0,0.09382730618475314,125
106,127.3638958,36.36885477,카이스트 다솜관,0.07727272727272728,0.0,0.0,0.0,0.0,0.01649533240107336,0.0,0.0,0.0,0.0,0.09376805967380064,126
86,127.3969705,36.32346611,삼부프라자,0.015454545454545457,0.0010677083333333333,0.0,0.0,0.0,0.024524736384595035,0.005511284390097998,0.04650780608052588,0.0006154235555420414,0.0,0.09368150419863976,127
58,127.3311435,36.35642583,구암역 3번출구,0.0038636363636363642,0.0008124999999999999,5.263157894736842e-05,0.05,0.0,0.023929475792735928,0.002562502991929977,0.009268693508627773,0.00255273366153072,0.0,0.09304217389740814,128
52,127.3811437,36.34356854,유승기업사,0.034772727272727275,0.0016875,0.0,0.0,0.0,0.015549529460675006,0.007693577419630012,0.030805258833196385,0.0009721254369913915,0.0,0.09148071842322007,129
9,127.3735828,36.3616216,(운영중지)황실아파트(성룡초등학교),0.019318181818181818,0.0002708333333333333,0.0,0.0,0.0,0.0012169772100230547,0.005828844688509944,0.06350862777321281,0.0,0.0,0.09014346482326097,130
62,127.3422972,36.35039508,도안휴먼시아1단지,0.007727272727272727,0.00021354166666666665,0.0,0.0,0.03789473684210526,0.016131562039381684,0.003954307425349322,0.0223911257189811,0.0005729202028275958,0.0,0.08888546662258437,131
252,127.3849018,36.35949495,대전정부청사 남문,0.030909090909090914,0.0,0.0,0.0,0.0,0.05562379530594506,0.0009884508803382778,0.0006491372226787182,0.0006224844228423049,0.0,0.08879295874089527,132
222,127.3680119,36.34412614,갈마아파트 한마음동산,0.015454545454545457,0.0012864583333333332,7.894736842105263e-05,0.0,0.0,0.02330114516799577,0.0025660015253893827,0.04451109285127362,0.00128380951666902,0.0,0.08848200021762764,133
84,127.3969705,36.32346611,강남한의원,0.015454545454545457,0.0010677083333333333,0.0,0.0,0.0,0.017143505045542157,0.005511284390097998,0.04650780608052588,0.0006154235555420414,0.0,0.08630027285958687,134
77,127.4411249,36.36838789,선비마을3단지,0.0038636363636363642,0.00020833333333333332,0.0,0.0,0.0,0.007156355115461658,0.0023379777684755495,0.07184059161873459,0.0,0.0,0.0854068941996415,135
156,127.4149132,36.33599349,중촌네거리(목동우체국 방면),0.042499999999999996,0.0023229166666666667,5.263157894736842e-05,0.0,0.0,0.015165917079254698,0.00613432568826987,0.017937551355792933,0.0009511476287051503,0.0,0.08506448999763669,136
87,127.3984692,36.32253597,쌍용예가아파트,0.007727272727272727,0.0010052083333333332,0.0,0.0,0.0,0.017626327525605653,0.002052192216338943,0.05635168447000821,0.0,0.0,0.08476268527255887,137
119,127.4326996,36.34938521,용전동 천주교회,0.027045454545454546,0.0023854166666666668,9.210526315789474e-05,0.0,0.0,0.006250236214520579,0.01937087586073101,0.0271405094494659,0.002188228796259233,0.0,0.08447282679625584,138
25,127.3662211,36.37510824,카이스트 후문,0.06181818181818183,0.0,0.0,0.0,0.0,0.021601345477909217,0.0005927494693710954,0.0,0.0,0.0,0.08401227676546215,139
239,127.3424984,36.29624676,느리울중네거리,0.0038636363636363642,0.00019791666666666666,0.0,0.0,0.0,0.027216637061113422,0.005379146365034533,0.045332785538208714,0.0001254357418034306,0.0,0.08211555773646313,140
202,127.3458938,36.31964383,도안초등학교,0.011590909090909091,0.0001927083333333333,0.0,0.0,0.0,0.02498771684492989,0.0031526105646352254,0.040665571076417426,0.001506291051574252,0.0,0.08209580696179922,141
166,127.4379807,36.32196956,인동네거리,0.030909090909090914,0.0007343749999999999,0.00021052631578947367,0.0,0.0,0.019365811255149478,0.005071030667237277,0.02257189811010682,0.00295958776364401,0.0,0.08182232002101798,142
185,127.4472925,36.35503496,비래동 산림조합,0.019318181818181818,0.0017604166666666669,9.210526315789474e-05,0.0,0.0,0.014312710230923316,0.005856847353442221,0.03948233360723089,0.0003077117777710207,0.0,0.08113030671737383,143
174,127.3529957,36.30471521,가수원네거리(전통시장 입구),0.0,0.000484375,0.0,0.0,0.0,0.04534562908651121,0.015601018893880337,0.018438783894823337,0.0010126225064988996,0.0,0.08088242938171379,144
135,127.4059384,36.32104442,서대전역네거리,0.007727272727272727,0.0004999999999999999,2.631578947368421e-05,0.0,0.0,0.02360538947050153,0.013711782031287397,0.03076417419884963,0.003046295991612764,0.0,0.07938123020899773,145
225,127.4520801,36.34904348,대전보건대,0.030909090909090914,0.002364583333333333,1.3157894736842104e-05,0.0,0.0,0.01459711251370044,0.007988044517758475,0.02211996713229252,0.001354516074077252,0.0,0.07934647237498978,146
150,127.3513683,36.30469318,도안 우미린(1806동),0.007727272727272727,0.0005677083333333333,0.0,0.0,0.0,0.030688990513624854,0.015601018893880337,0.023681183237469185,0.0010126225064988996,0.0,0.07927879621207934,147
41,127.3631712,36.35366969,대전일보,0.019318181818181818,0.001890625,0.0,0.0,0.0,0.022957216826032727,0.004839681143948454,0.0285784716516023,0.0009721254369913915,0.0,0.07855630187675669,148
189,127.3173048,36.29712522,샘물타운아파트(301동),0.030909090909090914,0.0011093750000000001,3.9473684210526316e-05,0.0,0.0,0.016025737934162287,0.0019104872139759932,0.028348397699260477,0.0,0.0,0.0783425624407002,149
137,127.411517,36.31868609,센트럴파크(302동),0.027045454545454546,0.000375,0.0,0.0,0.0,0.00962999357496504,0.003926923842469532,0.03652423993426458,0.00032689365019001373,0.0,0.07782850554734372,150
242,127.4046984,36.3221204,서대전역,0.0,0.000375,2.631578947368421e-05,0.0,0.0,0.02604595789712385,0.01264426861394367,0.036622843056696795,0.001523147995806382,0.0,0.07723753335304438,151
162,127.3868747,36.43172001,송강체육관,0.015454545454545457,0.0007604166666666666,0.00015789473684210527,0.0,0.0,0.013803431724554975,0.003909431175172506,0.04117502054231717,0.0003442011403741516,0.0,0.07560494144047303,152
163,127.3822896,36.4321702,송강초등학교,0.0,0.0003177083333333333,0.0,0.0,0.0,0.016363052269549115,0.004073466323196105,0.05460147904683648,3.6234585462319154e-05,0.0,0.07539194055837735,153
203,127.3389452,36.3675018,죽동 금성백조,0.011590909090909091,0.00041145833333333334,0.0,0.0,0.0,0.04766714539476172,0.0017766503125824467,0.01297452752670501,0.0002824298325010382,0.0,0.07470312049079264,154
157,127.4110782,36.3404982,중촌초등학교(건너편),0.0038636363636363642,0.0018072916666666667,0.0,0.0,0.0,0.028433614271136474,0.007856216033721254,0.032161051766639276,0.0005035861097446632,0.0,0.0746253962115447,155
195,127.4093196,36.31149187,한밭도서관,0.030909090909090914,0.0016093750000000001,2.631578947368421e-05,0.0,0.0,0.015331267243660003,0.003533677163826747,0.022785538208709943,0.0,0.0,0.0741952643147613,156
